Usuario,Comentarios
Lihnista,4
alaperse,4
chanchoextremo,4
JuanjiSempai,4
quenchy-cactus-juice,4
ConsciousPain9,4
una__paloma,4
unatarde,4
pamparapampam,4
heroeNK25,4
Kiripimma,4
rompementes,3
RezaAshton,3
ipurge123,3
Tiny-Cartographer-36,3
GinTonicWithCucumber,3
AutonomieSV,3
ecdysis063,3
Murky-Expression6455,3
andresmlna,3
wof759,3
Maur0,3
Zrakk,3
ElevenCupsOfTea,3
Shalashqska,3
Talgoporta,3
PPPPPPPPPPKP,3
Hiklos,3
blossomdreamer,3
emp_sisterfister,3
Silent-Ad-4434,3
Your321,3
tresclow,3
yogurenescabeche,3
cafe_filtrado,3
iushiush,3
papuanuevaguinea,3
Xamthos,3
noff01,3
kraysak,3
Sewaz,3
Suffocated-Soul-,3
Mezgal,3
Trumpeter_Octopus,3
oakjf,3
Aggressive_Sweet1417,3
OhHeyMark_,3
NeverOriginal123,3
JKrand,3
GodlikeCat,3
StatisticianLivid555,3
Laki-tu,3
DalasParker,3
Depreciacion,3
colafriaenmiuretra,3
Creative-North-267,3
creativityNAME,3
AlmostIdiot,3
copitamenstrual,3
riczan,3
ZERAJULIO,3
te_con_canela,3
iatt95,3
edo_asc,3
LoncoGomez,3
skzoholic,3
Duengologo,3
comoaprender,3
Albertonity,3
weylostacos,3
NoSoyUn_Robot,3
mtfkike,3
_reverse_noraa_,3
ImaRipeavocado,3
VitoDeLarge,3
esplasmosico51,3
XellosWizz,3
SholOne,3
Creis_Telwood,3
ffunnyvalentine,3
BoltOfBlazingGold,3
ThermidorReaction,2
sayer00,2
gidive,2
trash_smoke,2
Miserable-Ad4529,2
CourageTheDoggo,2
JuanEs1eban,2
Tavomanzana,2
Ab_DG,2
Zerepotaner,2
masterlince,2
anibia,2
peronohaypolillas,2
ghostman20,2
Axxyw,2
Temeos23,2
maverickst1,2
Gudrobilk,2
Saiko_uwu,2
chemelg94,2
Successful_Gur9015,2
Kafu06,2
1125101141815010995,2
radriazo,2
gatomimir,2
pizzzzah,2
agnostic_ent,2
camilincamilero,2
Saturnine67,2
hottu_dogu,2
pablocarlete,2
Lemon_pie_u,2
Cthulhukiin,2
gepece69,2
Chandelllx,2
Sire_Faux,2
ElSobe,2
BrocoLee,2
onemore_thanother,2
h4v0c12,2
sfitdhomlatcg,2
Rutharo,2
deandotcom,2
TioAngustia,2
0scarface,2
Sopapiglobo_ng,2
MellaDios,2
RedRadishThing,2
PSJoke,2
Synthopia_,2
kamikazewam,2
Parafina97,2
KillerKween97,2
Veroec,2
kabukiza00,2
TsubasaIre,2
NoMeEncuentro,2
BrushOk7023,2
cxursed,2
LordAsdf,2
dzerio,2
X-Grunger,2
P-Pablo,2
Geddoe_,2
Macrofita,2
lapochek,2
hombrx,2
notrealme69,2
Cabeza-de-bolo,2
DontKnowHowToEnglish,2
murloc_reporonga,2
tedenaranja,2
syckness_HD,2
Ryuuji159,2
Anti_Progres,2
kueikueikueikuei,2
DonMakafi,2
Rark00,2
SrDonDiego,2
lulaloops,2
thatomtom,2
terba123,2
Fighterdoken33,2
Lobsterun,2
Logical_Equal_6808,2
patonieto,2
Administrative_Race4,2
Sancolun,2
Tukurito,1
Tellepark-,1
Fantastic_Salary_349,1
curse_of_ra,1
vaskeke,1
TheLastDropofCoffee,1
-trowa,1
TheNaimer,1
n0vylif3,1
XJpablo,1
b45714n,1
the-sunset,1
nabets3,1
PaltaDoctor,1
MarGatoRueda,1
Javonetor,1
Deneb0la,1
Opocho21,1
Au_Jaguar,1
Many-Form-4511,1
pelaiwis,1
ZnaeW,1
canthinkone,1
FoTIEldok,1
Baltiadicto,1
XzAeRosho,1
andrew4d3,1
FuchsiaPalette,1
Birdisthew0rld,1
Remarkable-Spirit-24,1
Odd-Meringue4842,1
Fearless-Intern4144,1
soulneo,1
pacopaco122,1
Raingaze,1
beswervie,1
KhamulXIX,1
Naive-Sea-9277,1
d8354af7,1
guillermotor,1
estaweamesupera,1
Garlic_boi1,1
Gordohediondo,1
DonWolFin,1
Guaripote,1
sneakpeekbot,1
kamo_ctm,1
chacity,1
Drew_ripper09,1
helicoidea,1
okelay,1
matislash,1
Cristobolon,1
DullAndWitlessBoy,1
lutherdriggers,1
mcebaall,1
w3stan,1
uyqhwjyehd7665lll656,1
AdudeFromCL,1
RemindMeBot,1
mclannee,1
zafrada,1
Existing_Complaint40,1
Nice-Distribution526,1
MrGuantesillo,1
Return_to_monk3,1
ElXhunca,1
lacuenta2,1
aleliu,1
Agarotto,1
Xaerin,1
RRRPablo,1
BlackMage_uses_Heal,1
One-Box8025,1
yelo2,1
Goltana,1
DinosapienDeChile,1
Razorlines,1
the_queen_manatee,1
Arctic_Chilean,1
ulrish,1
userN191892,1
ferando855,1
Mononen12,1
IceLovey,1
Gardius,1
deportadoensiberia,1
entwistle_ox,1
Chilean_Chargaff,1
InvolvedDr,1
Human-360,1
nentrist,1
Frohslol,1
thealterlion,1
bbbastiannnn,1
Queraltoyo,1
Huemus,1
JokeercL,1
BorderLove89,1
tepo-tepo,1
abeja-maligna,1
TukamiD,1
matmena,1
El_gato_piniwai,1
Eiol01,1
elsrda,1
Severe_Picture_7672,1
Dual-ll,1
T1student,1
Double_Government_37,1
monkblues,1
onibside,1
spidercrabs,1
ZargothraxDM,1
eowynTA3019,1
kadriko05,1
CreazySapete,1
tokewithnick,1
lolochicle3,1
thelilpin,1
Yennefer1991,1
LaOreoNostra,1
Sorwest,1
motesinhuesillo,1
Felipe1998,1
eltoyar,1
andreuus94,1
chrysyx,1
DDMendoza95,1
SeaworthinessHot1789,1
KIrbyKarby,1
Zero951,1
husares24,1
Golden_Alchemy,1
n1cj,1
TheEurekaEngine,1
Puzzleheaded_Tutor_1,1
lingunk,1
fkngdprss,1
jungkooksalt,1
rhapsowacho,1
Bakeneko04,1
anek23,1
Golums5,1
t3ChRa,1
disamachadwick69,1
Tuna_Melt_Sandwich,1
zolido,1
Hnk-Kenshiro,1
Kondor0,1
Tio_Pan,1
SoulsLikeBot,1
kameluca,1
SkyFoo,1
TuIaBocaAncha,1
didiboy,1
koshalluyo,1
SthrnCrss,1
Pologlet,1
Jscftn,1
LavitzCrack,1
Federal_Scale_562,1
elmemo7,1
nagablue,1
FitPrune5579,1
Carlangas3,1
Scary_Troopers_501,1
orosoli,1
eLeneme,1
SpringRice,1
foc0_off,1
Kinetikkubagu,1
PolariusG36,1
Beautiful_Fudge_5175,1
Sith_Vegeta,1
ksaverija,1
TheoDW,1
Jimmy-Fly,1
altdelsur,1
Mr_Ganger,1
Putrid-Amphibian5061,1
eBGIQ7ZuuiU,1
maxt0m,1
Choice-Account8192,1
Bhors,1
boogurlboo,1
Reibaxs,1
ByGib,1
lefboop,1
isid7,1
Daigrova,1
Aleshiro,1
Neither-Raise,1
TropicalPalta,1
wllcfx,1
AmputatorBot,1
matuu_,1
Arcaicoo,1
ketiapina,1
cyansun,1
Ytreo,1
onlyathrowawaydude,1
skancerous,1
charlybadulaque,1
